avg_salary,Rating,Size,Industry,Sector,Revenue,Type of ownership,job_state,hourly,python_yn,R_yn,spark,aws,excel,company_age,job_title_group,job_seniority,sql_yn,tableau_yn
76.5,3.7,10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Company - Public,MA,0,0,0,0,0,1,239.0,data_scientist,mid,0,0
107.0,3.8,501 to 1000 employees,Insurance Carriers,Insurance,$500 million to $1 billion (USD),Company - Private,MD,0,1,0,0,0,1,39.0,data_scientist,mid,1,1
171.5,3.5,10000+ employees,Computer Hardware & Software,Information Technology,$10+ billion (USD),Company - Public,CA,0,1,0,0,1,0,50.0,data_scientist,mid,1,0
107.0,4.2,10000+ employees,Religious Organizations,Non-Profit,Unknown,Nonprofit Organization,UT,0,0,0,0,0,1,25.0,data_engineer,mid,0,0
145.0,3.5,1001 to 5000 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),Company - Private,MA,0,1,0,0,0,1,10.0,data_scientist,senior,0,0
61.5,2.9,201 to 500 employees,Colleges & Universities,Education,$25 to $50 million (USD),Nonprofit Organization,VA,0,1,0,0,0,1,27.0,data_analyst,senior,1,1
20.5,3.6,5001 to 10000 employees,Health Care Services & Hospitals,Health Care,Unknown,Nonprofit Organization,PA,1,0,0,0,0,0,3.0,data_scientist,mid,0,0
120.0,2.7,51 to 200 employees,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),Government,WI,0,1,0,0,0,0,69.0,data_scientist,mid,1,1
62.0,4.4,201 to 500 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),Company - Public,MA,0,0,0,0,0,0,7.0,data_scientist,mid,0,0
150.5,4.0,5001 to 10000 employees,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),Company - Public,CA,0,1,0,1,0,0,38.0,data_scientist,senior,1,0
87.5,4.3,201 to 500 employees,Advertising & Marketing,Business Services,Unknown,Company - Private,MI,0,0,0,0,0,1,53.0,leadership,mid,1,1
71.5,4.2,51 to 200 employees,Advertising & Marketing,Business Services,$25 to $50 million (USD),Company - Public,FL,0,1,0,1,1,1,14.0,data_engineer,mid,0,0
51.5,3.6,51 to 200 employees,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD),Subsidiary or Business Segment,CA,0,0,0,0,0,1,14.0,data_analyst,mid,0,0
151.5,3.7,10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Company - Public,CA,0,0,0,0,0,1,239.0,data_scientist,senior,0,0
